state,year,fatalities,fatalities_under21,fatalities_over21,fatalities_age_unknown,motorcycles,fatality_rate_per_10k_reg,population,fatality_rate_per_100k_pop,treated,repeal_year,event_time,post,exemption_age,reg_data_quality_flag
Alabama,1995,33,4,29,0,37445,8.812925624248898,4262731,0.7741515943652085,0,,,0,,ok
Alabama,1996,31,3,28,0,36225,8.557625948930296,4290403,0.7225428473735451,0,,,0,,ok
Alabama,1997,29,4,25,0,38544,7.523868825238688,4320281,0.6712526337985886,0,,,0,,ok
Alabama,1998,34,8,26,0,44058,7.717100186118298,4351037,0.7814229113657273,0,,,0,,ok
Alabama,1999,32,5,27,0,48715,6.568818639022888,4369862,0.7322885711265025,0,,,0,,ok
Alabama,2000,43,7,36,0,54359,7.910373627182251,4452173,0.9658205105686595,0,,,0,,ok
Alabama,2001,43,4,39,0,54507,7.888895004311372,4467634,0.9624781260058455,0,,,0,,ok
Alabama,2002,43,2,41,0,61524,6.989142448475391,4480089,0.9598023610691662,0,,,0,,ok
Alabama,2003,52,2,50,0,70372,7.389302563519581,4503491,1.1546597961448128,0,,,0,,ok
Alabama,2004,75,7,68,0,80599,9.305326368813509,4530729,1.6553627462600389,0,,,0,,ok
Alabama,2005,62,7,55,0,92980,6.668100666810067,4569805,1.3567318517967397,0,,,0,,ok
Alabama,2006,105,8,97,0,103586,10.136504933099069,4628981,2.2683178003971065,0,,,0,,ok
Alabama,2007,85,13,72,0,110368,7.701507683386489,4672840,1.8190222648325216,0,,,0,,ok
Alabama,2008,100,10,90,0,126675,7.894217485691731,4718206,2.1194496382735304,0,,,0,,ok
Alabama,2009,76,9,66,1,121976,6.230733914868499,4757938,1.5973306083433623,0,,,0,,ok
Alabama,2010,86,4,82,0,122793,7.003656560227375,4785514,1.7970901349363935,0,,,0,,ok
Alabama,2011,98,3,95,0,127301,7.698289879890967,4799642,2.0418189523301944,0,,,0,,ok
Alabama,2012,97,2,95,0,132465,7.3226890121919,4816632,2.0138553246334783,0,,,0,,ok
Alabama,2013,80,4,76,0,118084,6.774838250736764,4831586,1.655771003558666,0,,,0,,ok
Alabama,2014,65,4,61,0,115768,5.614677631124318,4843737,1.3419390854623197,0,,,0,,ok
Alabama,2015,67,3,63,1,115114,5.820317250725368,4854803,1.3800765963109112,0,,,0,,ok
Alabama,2016,112,9,103,0,109703,10.209383517314933,4866824,2.30129546496853,0,,,0,,ok
Alabama,2017,78,7,71,0,112185,6.952801176627891,4877989,1.5990195959851488,0,,,0,,ok
Alabama,2018,82,4,78,0,110012,7.453732320110533,4891628,1.6763335233177994,0,,,0,,ok
Alabama,2019,93,6,87,0,107730,8.632692843219159,4907965,1.8948790384609506,0,,,0,,ok
Alabama,2020,78,3,75,0,114901,6.78845266794893,5033094,1.54974256391794,0,,,0,,ok
Alabama,2021,80,4,76,0,123296,6.488450558006749,5049196,1.5844106665694895,0,,,0,,ok
Alabama,2022,97,5,92,0,125810,7.710038947619426,5076181,1.9108853683507347,0,,,0,,ok
Alaska,1995,3,0,3,0,12909,2.3239600278875203,601345,0.498881673581721,0,,,0,,ok
Alaska,1996,6,1,5,0,13116,4.574565416285452,604918,0.9918699724590772,0,,,0,,ok
Alaska,1997,6,0,6,0,13462,4.456990046055564,608846,0.9854708744083068,0,,,0,,ok
Alaska,1998,5,0,5,0,13692,3.651767455448437,615205,0.812737217675409,0,,,0,,ok
Alaska,1999,9,1,8,0,14887,6.045543091287701,619500,1.452784503631961,0,,,0,,ok
Alaska,2000,6,0,6,0,16063,3.735292286621428,627963,0.9554703063715537,0,,,0,,ok
Alaska,2001,7,1,6,0,16744,4.180602006688963,633714,1.104599235617329,0,,,0,,ok
Alaska,2002,12,1,11,0,18154,6.61011347361463,642337,1.8681782304304437,0,,,0,,ok
Alaska,2003,12,1,11,0,19612,6.11870283499898,648414,1.8506694796842758,0,,,0,,ok
Alaska,2004,8,0,8,0,21127,3.786623751597482,659286,1.213433927005882,0,,,0,,ok
Alaska,2005,4,1,3,0,22228,1.7995321216483715,666946,0.5997487052924825,0,,,0,,ok
Alaska,2006,9,0,9,0,24112,3.732581287325813,675302,1.332737056901949,0,,,0,,ok
Alaska,2007,6,0,6,0,25702,2.3344486810364953,680300,0.8819638394825812,0,,,0,,ok
Alaska,2008,8,0,8,0,27931,2.8642010669148976,687455,1.1637125339113106,0,,,0,,ok
Alaska,2009,7,0,7,0,29166,2.4000548583967634,698895,1.0015810672561687,0,,,0,,ok
Alaska,2010,9,0,9,0,30186,2.981514609421586,713982,1.2605359798986528,0,,,0,,ok
Alaska,2011,10,1,9,0,31020,3.2237266279819474,722349,1.384372374018653,0,,,0,,ok
Alaska,2012,9,0,9,0,31940,2.817783343769568,730810,1.2315102420601798,0,,,0,,ok
Alaska,2013,9,1,8,0,32207,2.7944235725152917,737626,1.2201305268523615,0,,,0,,ok
Alaska,2014,8,0,8,0,32090,2.4929884699283265,737075,1.0853712308788115,0,,,0,,ok
Alaska,2015,11,0,11,0,31953,3.442556254498795,738430,1.4896469536719799,0,,,0,,ok
Alaska,2016,6,1,5,0,31949,1.8779930514257097,742575,0.807999192000808,0,,,0,,ok
Alaska,2017,6,2,4,0,31859,1.8832982830597318,740983,0.8097351761106529,0,,,0,,ok
Alaska,2018,12,0,12,0,31550,3.8034865293185423,736624,1.6290536284454484,0,,,0,,ok
Alaska,2019,6,0,6,0,28129,2.1330299690710657,733603,0.8178810610098377,0,,,0,,ok
Alaska,2020,4,1,3,0,26781,1.493596206265636,733017,0.5456899362497732,0,,,0,,ok
Alaska,2021,7,1,6,0,25713,2.722358340139229,734420,0.9531330846109856,0,,,0,,ok
Alaska,2022,8,0,8,0,25638,3.120368203448007,734442,1.0892623243224107,0,,,0,,ok
Arizona,1995,64,11,53,0,68379,9.359598707205429,4306908,1.4859848410971397,0,,,0,,ok
Arizona,1996,69,5,64,0,71080,9.707371975239168,4432308,1.5567510200103423,0,,,0,,ok
Arizona,1997,57,4,53,0,73896,7.713543358233193,4552207,1.2521398960987495,0,,,0,,ok
Arizona,1998,60,5,55,0,53594,11.195283054073217,4667277,1.2855461546422036,0,,,0,,ok
Arizona,1999,73,4,69,0,144380,5.056101953179111,4778332,1.5277297600920152,0,,,0,,ok
Arizona,2000,90,9,81,0,164279,5.478484772855934,5160586,1.7439879889609435,0,,,0,,ok
Arizona,2001,73,7,66,0,190539,3.8312366497147567,5273477,1.384285927482001,0,,,0,,ok
Arizona,2002,94,9,85,0,218290,4.306198176737367,5396255,1.741948814501909,0,,,0,,ok
Arizona,2003,109,10,99,0,208403,5.230251004064241,5510364,1.978090739559129,0,,,0,,ok
Arizona,2004,119,18,101,0,208227,5.714916893582484,5652404,2.105298913524228,0,,,0,,ok
Arizona,2005,138,20,118,0,97875,14.099616858237548,5839077,2.363387227125109,0,,,0,,ok
Arizona,2006,142,17,125,0,113606,12.499339823600867,6029141,2.355227718177432,0,,,0,,ok
Arizona,2007,135,15,120,0,124374,10.85435862800907,6167681,2.1888291563717384,0,,,0,,ok
